ID,Source,Title,Address,Phone,Email,Website,Working Hours,Date,Price,Category
1,http://visit.kaunas.lt/en/to-see/interwar-architecture/kaunas-was-awarded-a-european-heritage-label/,,,,,,,,,INTERWAR ARCHITECTURE
2,http://visit.kaunas.lt/en/to-see/interwar-architecture/zaliakalnis-funicular/,žaliakalnis funicular,"Aušros g. 6, Kaunas",,,,,,,INTERWAR ARCHITECTURE
3,http://visit.kaunas.lt/en/to-see/hansa-kaunas/education-programs/perkunas-house-visiting-medieval-merchants-house/,Perkūnas House: Visiting medieval merchant’s house,"Aleksoto g. 6, Kaunas",+370 641 44 614,info@perkunonamas.lt,www.perkunonamas.lt,,,,EDUCATION PROGRAMS
4,http://visit.kaunas.lt/en/to-see/museums-and-galleries/museum/atomic-bunker/,Atomic bunker,"Raudondvario pl. 164A, Kaunas",+370 682 66666,info@atominisbunkeris.lt,www.atominisbunkeris.lt,Museum visited by arrangement,Museum visited by arrangement,,MUSEUM
5,http://visit.kaunas.lt/en/to-see/interwar-architecture/officers-palace/,Officers’ Palace,"A. Mickevičiaus g. 19, Kaunas",,,,,,,INTERWAR ARCHITECTURE
6,http://visit.kaunas.lt/en/to-see/museums-and-galleries/museum/kaunas-city-museum-folk-music-branch/,Kaunas city museum – Folk music branch ,"L. Zamenhofo g. 12/Kurpių g. 12, Kaunas",+370 37 422 295,,www.kaunomuziejus.lt,"II – V 10 AM – 6 PM, VI 10 AM – 5 PM","II – V 10 AM – 6 PM, VI 10 AM – 5 PM","Adults - 2,00 EUR, children, students, seniors - 1,20 EUR",MUSEUM
7,http://visit.kaunas.lt/en/to-see/interwar-architecture/vytautas-magnus-war-museum/,Vytautas Magnus War Museum,"K Donelaičio g. 64, Kaunas",,,,,,,INTERWAR ARCHITECTURE
8,http://visit.kaunas.lt/en/to-see/museums-and-galleries/museum/kaunas-city-museum-kaunas-town-hall/,Kaunas City museum - Kaunas Town hall ,"Rotušės a. 15, Kaunas",+370 37 208 220,muziejus@kaunomuziejus.lt,www.kaunomuziejus.lt,"II – VI 10 AM – 6 PM, VII 10 AM – 4 PM","II – VI 10 AM – 6 PM, VII 10 AM – 4 PM"," Adults - 2,50 EUR, schoolchildren, students, seniors - 1,20 EUR, Kaunas town hall tower: adults - 2,00 EUR, schoolchildren, students, seniors - 1,00 EUR.",MUSEUM
9,http://visit.kaunas.lt/en/to-see/hansa-kaunas/tours/experience-the-culture-of-the-hanseatic-kaunas-2-days-1-night/,Experience the Culture of the Hanseatic Kaunas (2 days/ 1 night),"Rotušės a. 15, Kaunas",+370 616 23828,info@kaunasin.lt,www.visit.kaunas.lt,,,,TOURS
10,http://visit.kaunas.lt/en/to-see/routes/walking-in-hanseatic-city/,WALKING IN HANSEATIC CITY,,,,,,,,ROUTES
